epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.37241,2.24065,2.71782,1.81612,1,0.40361,0.85597,0.41162,1.57796,2.64954,1.23803,0.00053344,0.00053344,0.00053344
2,5.31676,1.48162,1.29048,1.30655,1,0.99551,0.995,0.63728,1.20516,1.39306,1.22621,0.0010621,0.0010621,0.0010621
3,7.14707,1.4471,1.10223,1.29028,0.99575,0.99231,0.995,0.60427,1.36252,1.06088,1.29349,0.00156897,0.00156897,0.00156897
4,8.98092,1.36643,0.96616,1.20419,0.99932,1,0.995,0.65286,1.25181,0.96829,1.23412,0.00156798,0.00156798,0.00156798
5,10.9214,1.31998,0.90966,1.19228,0.99224,0.98399,0.99469,0.63827,1.22011,0.79739,1.19806,0.00153497,0.00153497,0.00153497
6,12.8042,1.31785,0.81671,1.18496,0.99884,1,0.995,0.65055,1.11608,0.63835,1.14594,0.00150197,0.00150197,0.00150197
7,14.5531,1.28955,0.80866,1.18086,0.99813,1,0.995,0.61222,1.39139,0.5801,1.27743,0.00146896,0.00146896,0.00146896
8,16.4505,1.21555,0.76443,1.1372,0.99987,1,0.995,0.61575,1.39031,0.604,1.25929,0.00143595,0.00143595,0.00143595
9,18.3481,1.20942,0.733,1.12746,0.99848,1,0.995,0.67202,1.22906,0.5339,1.15602,0.00140295,0.00140295,0.00140295
10,20.2,1.18685,0.67905,1.12921,0.99934,1,0.995,0.59235,1.4122,0.56585,1.27086,0.00136994,0.00136994,0.00136994
11,22.0072,1.1742,0.68798,1.12286,0.99924,1,0.995,0.6611,1.17125,0.49265,1.14176,0.00133693,0.00133693,0.00133693
12,23.8687,1.12839,0.65073,1.11041,1,0.99229,0.995,0.64262,1.27493,0.51936,1.21308,0.00130393,0.00130393,0.00130393
13,25.7572,1.1583,0.64016,1.11137,0.99931,1,0.995,0.68844,1.18149,0.51794,1.14249,0.00127092,0.00127092,0.00127092
14,27.7211,1.12767,0.62484,1.10424,0.99931,1,0.995,0.70805,1.11239,0.50332,1.09576,0.00123791,0.00123791,0.00123791
15,29.7066,1.15483,0.6403,1.12251,0.99933,1,0.995,0.68015,1.10249,0.45267,1.09197,0.00120491,0.00120491,0.00120491
16,31.6693,1.13641,0.61339,1.09982,0.99938,1,0.995,0.70438,1.09569,0.4556,1.09423,0.0011719,0.0011719,0.0011719
17,33.5444,1.10919,0.59101,1.09668,0.99906,1,0.995,0.7043,1.06344,0.45553,1.07993,0.00113889,0.00113889,0.00113889
18,35.4343,1.12217,0.57233,1.10705,0.99931,1,0.995,0.71026,1.08384,0.45155,1.08712,0.00110589,0.00110589,0.00110589
19,37.3025,1.10789,0.58358,1.09558,0.99936,1,0.995,0.66939,1.22591,0.50176,1.16719,0.00107288,0.00107288,0.00107288
20,39.218,1.06545,0.56661,1.06993,0.99944,1,0.995,0.70122,1.16511,0.45917,1.13675,0.00103987,0.00103987,0.00103987
21,41.0888,1.06973,0.57075,1.08077,0.9995,1,0.995,0.70883,1.12161,0.45709,1.10835,0.00100687,0.00100687,0.00100687
22,42.9866,1.06138,0.55839,1.07246,0.99948,1,0.995,0.71512,1.11843,0.4165,1.12547,0.000973861,0.000973861,0.000973861
23,44.83,1.00636,0.52417,1.0495,0.99946,1,0.995,0.71466,1.08498,0.42638,1.09654,0.000940855,0.000940855,0.000940855
